問題,回答
培桂堂的創建者是誰？,培桂堂是由林開泰醫師家族於1933年創建的。
培桂堂在什麼時候被指定為古蹟？,培桂堂在2016年被嘉義縣政府指定為古蹟。
培桂堂的原身是什麼？,「林開泰診療所舊宅」。
林開泰醫師的父親是誰？,林開泰醫師的父親是晚清秀才林維朝先生。他曾在家中開館授課；協助修建受地震摧毀的宮廟；擔任地區官員，以及兼任嘉義銀行董事長，是新港最具聲望的領導人物。
培桂堂是從什麼時候開始對外開放的？,「林開泰診療所舊宅」在2022年修復完成，並以大廳林維朝所題的「培桂堂」為號，對外開放。
培桂堂與雲門舞集有什麼關聯？,林開泰醫師的長孫，林懷民先生為雲門舞集的創辦人。
林維朝在日治時代有什麼貢獻？,林維朝在日治時代開館授課，組織詩社，並號召鄉民修建地震摧毀的奉天宮和大興宮。
鄉民如何稱呼林維朝？,「詩人良醫」或「聖人」。
林開泰醫師家族的宅第為何被稱為「博士窩」？,因為林開泰醫師的十一位兒女在這裡成長，並在不同領域對社會做出貢獻，甚至在國際上也有重要的影響。
林開泰醫師的診所在哪裡？,其位置在培桂堂當中面街的房舍。
培桂堂的空間是如何規劃的?,其中面街的房舍作為診所，後方則是家人起居的住宅。
林開泰醫師有哪些子孫對社會有重要影響？,長子林金生歷任嘉義縣、雲林縣縣長，內政部、交通部部長與總統府資政。次子林新澤先後擔任臺灣省肺結核防治院院長，WHO西太平洋區國際防癆顧問隊隊長。三子林本仁開創高雄醫學院耳鼻喉科。另外，長孫林懷民創辦了雲門舞集，進行全球巡演提升臺灣的文化形象。
林氏家族的家訓是什麼?,林氏家族的家訓是「公爾忘私」，他們也秉持著此精神將宅第捐出。
培桂堂是怎麼命名的?,以大廳林維朝先生所題的「培桂堂」命名。
培桂堂的建築風格是什麼？,培桂堂的建築結合了閩式、日式和西式元素，具體反映了日治時期臺灣建築的潮流。
培桂堂使用哪些建築材料？,培桂堂的建築使用了紅磚、磨石子、洗石子等材料。
培桂堂的前廊柱子是什麼風格？,希臘多立克柱式。
培桂堂的主體建築朝向哪個方向？,培桂堂的主體建築是坐北朝南。
培桂堂的大廳門是什麼樣的設計？,培桂堂的大廳門是傳統建築的三關六扇門。
培桂堂的大廳門有什麼特別設計？,左右兩扇門都配有上下開合的窗子，往下拉時玻璃窗收納到下方的木隔板裡。
培桂堂的大廳門窗有什麼特點？,培桂堂的大廳門窗有上下開合的設計，方便通風和採光。
培桂堂的房舍有什麼裝飾？,所有房舍沒有任何裝飾，紅磚紅瓦，原木白牆，樸素淡雅。
培桂堂的建築顏色主要是什麼？,培桂堂所有的房舍都沒有任何裝飾，紅磚紅瓦，原木白牆，樸素淡雅。
培桂堂的前廊有什麼重要意義？,培桂堂的前廊是林懷民的第一個舞台。
培桂堂的左右側房有什麼特點？,培桂堂的左右側房各有上下開關的窗戶，窗下有洗石子砌成的幾何圖像。
培桂堂的庭院有什麼植物？,培桂堂的庭院有百年桂花樹和高聳的樹蘭。
培桂堂主體有什麼建築特色?,它是一座三開間建築，為了防潮，以紅磚墊高。前廊表層鋪上磨石子地坪，前緣一對洗石子廊柱，複合式的柱礎，頂端是仿希臘式的多立克柱頭。
培桂堂的建材和工法有哪些？,鋼筋和混凝土。
培桂堂的建築風格反映了什麼時期的潮流？,培桂堂的建築風格反映了日治時期台灣建築的潮流。
宅第左側的走道是種什麼花?,大鄧伯花。綿延三十公尺的大鄧伯花道引向後院的星巴克。
培桂堂的營業時間是什麼時候？,週三至週日的09:30至17:00。
培桂堂參訪的停止入園時間是什麼時候？,下午16:30。
參訪培桂堂需要預約嗎？,如有網路預約可優先入園。
培桂堂裡面可以拍照嗎？,園區開放攝影，但室內不得使用閃光燈、補光器材、自拍棒、腳架等設備。攝影作品不得做商業目的之使用。
培桂堂可以帶寵物進去嗎?,除導盲犬外，不歡迎任何家畜及動物。
培桂堂參訪有什麼注意事項？,需遵守規定，勿攜帶危險或法律管制物品、勿攀爬花木或觸摸、破壞展覽文物。展區全面禁菸，展覽室內禁止飲食。
培桂堂參訪是否有語音導覽？,培桂堂有提供語音導覽服務。
培桂堂是否有無障礙設施？,園區地面高低落差大，非無障礙空間，有需求者，請配合服務人員引導。
參觀培桂堂需要買票嗎?,需要。參觀診療所等室內展覽，請持票券入場。
是否可以現場購票？,可以，但建議事先網路預約，可以優先入園。
培桂堂是否可以舉辦私人活動？,可以舉辦活動，請事先上培桂堂網站提出申請。
培桂堂是否提供餐飲服務？,培桂堂的不提供餐飲服務，但周邊有餐飲選擇。
培桂堂內可以吃東西嗎?,展覽室內禁止飲食。
培桂堂內可以抽菸嗎?,全面禁菸，嚴禁點火。
票券遺失或破損怎麼辦?,票券若因遺失、破損或無法辨識，恕不補發，請妥善保管。
新港星巴克的營業時間是什麼時候?,週一至週日 09:00~17:00。
新港星巴克在哪裡?,位於古蹟培桂堂園區內，沿著宅第左側的大鄧伯花道走到後院即可找到。
培桂堂提供哪些語言的語音導覽？,有華語、臺語和客語的語音導覽服務。
培桂堂的導覽服務需要提前預約嗎？,因語音機具和導覽人員有限，建議及早線上預約，避免向隅。
桂堂提供哪些導覽服務?,我們提供語音導覽、團體專人導覽與學校戶外教育導覽。
語音導覽要多少錢?,費用為每人100元。
團體專人導覽要多少錢?,費用每人150元。
團體專人導覽需要多少人才能成團?,最低成團10人。若未滿10人，仍以10人計費。超過15人則需分團。
團體專人導覽需要提前預約嗎?,團體專人導覽敬請於參觀14日前預約。
團體導覽子母機要多少錢?,費用每人50元。
可以自行安排解說員嗎？,可以，但自備解說員的10人以上團體，必須租借子母機進行導覽，以避免打擾他人。
如果是學校戶外教學的導覽要怎麼收費?,費用為每人100元。嘉義縣學校享8折優惠。
學校戶外教學導覽需要提前預約嗎?,幼兒園以上之學校戶外教育，請以班級為單位預約。若學生超過15位需分團。
租借導覽機需要押證件嗎?,個人或團體代表租借，須押存代表人有效身分證件或新台幣3000元，證件、押金於歸還導覽機具後取回。
